Date,Nifty,TCS.BO,INFY.BO,RELIANCE.BO,HDFCBANK.BO,ICICIBANK.BO
2022-03-17,17287.05078125,3557.73828125,1829.804931640625,2463.502197265625,1463.47119140625,709.8173217773438
2022-03-21,17117.599609375,3509.384765625,1828.0286865234375,2451.08349609375,1469.2054443359375,700.598876953125
2022-03-22,17315.5,3582.6650390625,1862.2685546875,2514.6171875,1477.5101318359375,708.6341552734375
2022-03-23,17245.650390625,3589.73193359375,1847.0234375,2523.1611328125,1458.92333984375,708.0919189453125
2022-03-24,17222.75,3630.1474609375,1861.824462890625,2561.1123046875,1426.3468017578125,694.3875122070312
2022-03-25,17153.0,3589.44140625,1851.51318359375,2579.789794921875,1415.5208740234375,689.31005859375
2022-03-28,17222.0,3587.602294921875,1848.6021728515625,2604.577392578125,1416.657958984375,700.2538452148438
2022-03-29,17325.30078125,3586.537109375,1860.8870849609375,2605.073974609375,1436.4805908203125,705.1834106445312
2022-03-30,17498.25,3611.416015625,1892.2652587890625,2655.593017578125,1459.664794921875,719.775146484375
2022-03-31,17464.75,3619.305419921875,1881.904541015625,2616.79736328125,1453.287841796875,719.9722900390625
2022-04-01,17670.44921875,3636.778564453125,1877.118896484375,2637.163818359375,1489.2259521484375,726.1343994140625
2022-04-04,18053.400390625,3649.314697265625,1857.4827880859375,2645.707763671875,1637.673828125,735.9443359375
2022-04-05,17957.400390625,3692.150390625,1836.416015625,2608.302978515625,1588.9327392578125,731.704833984375
2022-04-06,17807.650390625,3636.100830078125,1804.198974609375,2602.29248046875,1533.2215576171875,730.3245239257812
2022-04-07,17639.55078125,3567.176513671875,1787.473876953125,2555.00244140625,1499.705810546875,738.5077514648438
2022-04-08,17784.349609375,3569.015869140625,1791.026123046875,2599.70947265625,1497.9261474609375,743.7330932617188
2022-04-11,17674.94921875,3578.2607421875,1743.21875,2592.8046875,1479.2403564453125,749.0078125
2022-04-12,17530.30078125,3573.46875,1718.3529052734375,2543.477783203125,1476.3238525390625,753.3952026367188
2022-04-13,17475.650390625,3544.282470703125,1725.45751953125,2535.828125,1448.2457275390625,751.6205444335938
2022-04-18,17173.650390625,3415.678466796875,1599.9444580078125,2527.58203125,1379.533447265625,748.0711669921875
2022-04-19,16958.650390625,3363.25927734375,1543.2071533203125,2621.26806640625,1328.0736083984375,755.8600463867188
2022-04-20,17136.55078125,3442.299560546875,1566.7901611328125,2700.697265625,1339.294921875,744.916259765625
2022-04-21,17392.599609375,3513.9345703125,1597.03369140625,2764.0322265625,1358.6727294921875,751.5219116210938
2022-04-22,17171.94921875,3496.412841796875,1564.668701171875,2740.486572265625,1340.085693359375,736.8316040039062
2022-04-25,16953.94921875,3434.313232421875,1540.740234375,2677.30078125,1350.0714111328125,742.2049560546875
2022-04-26,17200.80078125,3431.36083984375,1558.797607421875,2757.624267578125,1356.794189453125,743.09228515625
2022-04-27,17038.400390625,3447.478759765625,1532.5997314453125,2759.809814453125,1357.0908203125,726.6765747070312
2022-04-28,17245.05078125,3469.452880859375,1562.300537109375,2800.841064453125,1355.509033203125,736.7823486328125
2022-04-29,17102.55078125,3436.63671875,1547.1048583984375,2772.6259765625,1369.0537109375,733.0851440429688
2022-05-02,17069.099609375,,,,,
2022-05-04,16677.599609375,3371.1484375,1515.5784912109375,2675.611572265625,1340.876708984375,713.7117309570312
2022-05-05,16682.650390625,3401.012939453125,1564.224609375,2623.552978515625,1337.366943359375,718.3455200195312
2022-05-06,16411.25,3323.27880859375,1522.97900390625,2604.08056640625,1302.664794921875,709.4722290039062
2022-05-09,16301.849609375,3335.96044921875,1549.374267578125,2500.7578125,1305.136474609375,700.3031005859375
2022-05-10,16240.0498046875,3327.39306640625,1532.994384765625,2457.143798828125,1326.1456298828125,701.23974609375
2022-05-11,16167.099609375,3303.821533203125,1506.944580078125,2433.796875,1332.819091796875,704.0989379882812
2022-05-12,15808.0,3301.982177734375,1489.232666015625,2385.314453125,1288.3291015625,686.1057739257812
2022-05-13,15782.150390625,3304.35400390625,1483.410888671875,2412.23828125,1276.31689453125,667.9154052734375
2022-05-16,15842.2998046875,3268.72998046875,1469.4979248046875,2411.59228515625,1290.3065185546875,673.5845336914062
2022-05-17,16259.2998046875,3341.865478515625,1498.508056640625,2514.2197265625,1299.1551513671875,700.3523559570312
2022-05-18,16240.2998046875,3338.767822265625,1489.6766357421875,2522.26708984375,1299.45166015625,697.0988159179688
2022-05-19,15809.400390625,3166.166015625,1408.2708740234375,2463.054931640625,1272.609375,680.5845947265625
2022-05-20,16266.150390625,3188.624755859375,1436.195556640625,2605.073974609375,1305.7296142578125,699.5636596679688
2022-05-23,16214.7001953125,3214.810302734375,1449.220458984375,2588.979736328125,1288.1314697265625,701.0425415039062
2022-05-24,16125.150390625,3182.9619140625,1422.085205078125,2598.96435546875,1303.99951171875,698.134033203125
2022-05-25,16025.7998046875,3065.3935546875,1392.729736328125,2594.145751953125,1313.3424072265625,703.4088134765625
2022-05-26,16170.150390625,3125.411865234375,1404.916015625,2570.60009765625,1352.1968994140625,718.8878173828125
2022-05-27,16352.4501953125,3157.937744140625,1441.474609375,2558.429931640625,1375.8260498046875,729.338623046875
2022-05-30,16661.400390625,3267.665283203125,1507.2900390625,2646.4033203125,1384.872314453125,737.9161987304688
2022-05-31,16584.55078125,3257.2587890625,1484.0029296875,2616.74755859375,1371.7230224609375,740.9232177734375
2022-06-01,16522.75,3249.22412109375,1459.28515625,2615.05859375,1380.4727783203125,742.1063842773438
2022-06-02,16628.0,3313.55029296875,1487.900634765625,2706.757568359375,1369.399658203125,739.4443359375
2022-06-03,16584.30078125,3328.893798828125,1501.8135986328125,2761.3994140625,1364.604736328125,733.1344604492188
2022-06-06,16569.55078125,3320.616943359375,1510.052734375,2748.881591796875,1361.9847412109375,736.3880004882812
2022-06-07,16416.349609375,3254.548583984375,1487.2591552734375,2754.445068359375,1347.40185546875,724.9019775390625
2022-06-08,16356.25,3294.286376953125,1480.055908203125,2706.55908203125,1351.801513671875,719.2328491210938
2022-06-09,16478.099609375,3317.03515625,1494.51171875,2780.375244140625,1361.737548828125,722.6343383789062
2022-06-10,16201.7998046875,3257.79150390625,1457.5584716796875,2696.326171875,1335.3402099609375,709.9651489257812
2022-06-13,15774.400390625,3117.23193359375,1405.3106689453125,2645.45947265625,1312.2548828125,678.3169555664062
2022-06-14,15732.099609375,3108.616455078125,1421.1478271484375,2610.240478515625,1295.9913330078125,676.0986328125
2022-06-15,15692.150390625,3104.30859375,1402.7945556640625,2579.392578125,1293.0252685546875,677.6268310546875
2022-06-16,15360.599609375,3041.91845703125,1378.6195068359375,2542.5341796875,1266.6280517578125,668.85205078125
2022-06-17,15293.5,2990.515625,1369.2454833984375,2572.438232421875,1275.4765625,678.41552734375
2022-06-20,15350.150390625,3013.7001953125,1395.9859619140625,2526.240966796875,1307.014892578125,675.7536010742188
2022-06-21,15638.7998046875,3109.342529296875,1430.7685546875,2567.718994140625,1320.7078857421875,686.352294921875
2022-06-22,15413.2998046875,3119.022705078125,1418.2862548828125,2488.8857421875,1315.17138671875,677.0352783203125
2022-06-23,15556.650390625,3203.2421875,1433.926025390625,2448.55029296875,1321.74609375,689.6551513671875
2022-06-24,15699.25,3187.705078125,1422.9239501953125,2484.464599609375,1338.5533447265625,703.60595703125
2022-06-27,15832.0498046875,3206.775390625,1454.992919921875,2475.721923828125,1340.7283935546875,707.2045288085938
2022-06-28,15850.2001953125,3212.874267578125,1460.6173095703125,2512.53076171875,1330.3968505859375,700.00732421875
2022-06-29,15799.099609375,3185.865966796875,1444.2867431640625,2562.2548828125,1328.716064453125,693.0565795898438
2022-06-30,15780.25,3160.890380859375,1441.8199462890625,2577.1572265625,1332.2259521484375,696.901611328125
